gene_symbol,referral_indication,disease_grouping,Syndromic or non-syndromic HCM,disease_name,gene_disease_validity,allelic_requirement,inheritance,inheritance_modifiers,mechanism,variant_class_with_pathogenicity_evidence,pmids,expert_panel,expert_panel_review_date,curated_date,entry_date
CRYAB,Hypertrophic Cardiomyopathy (HCM),Syndrome with hypertrophic cardiomyopathy - no isolated LVH,Syndromic ,CRYAB-related Alpha-related B crystallinpathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by age-related onset,undetermined non-loss-of-function,missense_variant;stop_gained_NMD_escaping;frameshift_variant_NMD_escaping;stop_lost,14681890;21130652;21337604;570292;28493373;9731540;30681346;32420686;21920752;38212463;33272090,DDG2P team,13.01.2025,27.03.2021,2023-05-17 13:51:00+00:00
CSRP3,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,CSRP3-related Hypertrophic cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,nan,loss of function,frameshift_variant_NMD_triggering;stop_gained_NMD_triggering;splice_acceptor_variant;splice_donor_variant;missense_variant;inframe_deletion;inframe_insertion,30012424;31919335;30681346;28082330;18505755;33035702;34526680;16352453;15781201;23396983;26656175;21425739;12642359;19035361;25351510;23861362;20087448;34558151;33012304;37431535;39971408,ClinGen HCVD GCEP,17.03.2025,10.10.2024,
CSRP3,Hypertrophic Cardiomyopathy (HCM),Familial hypertrophic cardiomyopathy,Non-syndromic,CSRP3-related Hypertrophic cardiomyopathy,Definitive,biallelic_autosomal,Autosomal recessive,nan,loss of function,frameshift_variant_NMD_triggering;stop_gained_NMD_triggering;splice_acceptor_variant;splice_donor_variant;missense_variant;inframe_deletion;inframe_insertion,30012424;31919335;30681346;28082330;18505755;33035702;34526680;16352453;15781201;23396983;26656175;21425739;12642359;19035361;25351510;23861362;20087448;34558151;33012304;37431535;39971408,ClinGen HCVD GCEP,17.03.2025,10.10.2024,
DES,Dilated Cardiomyopathy (DCM),Familial dilated cardiomyopathy,NA,DES-related Dilated cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,nan,nan,missense_variant;splice_acceptor_variant_NMD_escaping,23349452;23300193;10430757;17626518;26724190;11728149;17325244,Cardiomyopathy expert panel,08.12.2021,31.03.2021,2022-04-25 12:45:00+00:00
DES,Hypertrophic Cardiomyopathy (HCM),Rare syndromic disorder with hypertrophic cardiomyopathy - isolated LVH,Syndromic ,DES-related Myofibrillar myopathy,Definitive,monoallelic_autosomal,Autosomal dominant,nan,nan,missense_variant;inframe_deletion;stop_gained_NMD_triggering;stop_gained_NMD_escaping;frameshift_variant_NMD_triggering;splice_acceptor_variant_NMD_escaping;splice_donor_variant_NMD_escaping;frameshift_variant_NMD_escaping,20718792;11073539;29926427;19433360;9736733;31718026;30681346;16217025;23815709;19181099,Cardiomyopathy expert panel,12.01.2022,27.03.2021,2022-04-25 12:45:00+00:00
DES,Hypertrophic Cardiomyopathy (HCM),Rare syndromic disorder with hypertrophic cardiomyopathy - isolated LVH,Syndromic ,DES-related Myofibrillar myopathy,Definitive,biallelic_autosomal,Autosomal recessive,Typified by incomplete penetrance; Typified by age-related onset,nan,missense_variant;inframe_deletion;stop_gained_NMD_triggering;stop_gained_NMD_escaping;frameshift_variant_NMD_triggering;splice_acceptor_variant_NMD_escaping;splice_donor_variant_NMD_escaping;frameshift_variant_NMD_escaping,20718792;11073539;29926427;19433360;9736733;31718026;30681346;16217025;23815709;19181099,Cardiomyopathy expert panel,12.01.2022,27.03.2021,2022-04-25 12:45:00+00:00
DSC2,Arrhythmogenic right ventricular cardiomyopathy (ARVC),Familial isolated arrhythmogenic cardiomyopathy,NA,DSC2-related Arrhythmogenic right ventricular cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,nan,splice_region_variant;splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion;NMD_triggering,17963498;33831308;24070718;17186466;19863551;24793512;20031616;21636032;23911551;17033975;34400560;31028357;23863954;31402444;26310507,Cardiomyopathy expert panel,05.01.2022,25.11.2021,2022-04-25 12:45:00+00:00
DSC2,Arrhythmogenic right ventricular cardiomyopathy (ARVC),Familial isolated arrhythmogenic cardiomyopathy,NA,DSC2-related Arrhythmogenic right ventricular cardiomyopathy,Definitive,biallelic_autosomal,Autosomal recessive,Typified by incomplete penetrance,nan,splice_region_variant;splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion;NMD_triggering,17963498;33831308;24070718;17186466;19863551;24793512;20031616;21636032;23911551;17033975;34400560;31028357;23863954;31402444;26310507,Cardiomyopathy expert panel,05.01.2022,25.11.2021,2022-04-25 12:45:00+00:00
DSG2,Arrhythmogenic right ventricular cardiomyopathy (ARVC),Familial isolated arrhythmogenic cardiomyopathy,NA,DSG2-related Arrhythmogenic right ventricular cardiomyopathy,Definitive,monoallelic_autosomal,Autosomal dominant,Typified by incomplete penetrance,nan,splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion,25616645;33831308;33917638;24070718;27532257;30790397;21636032;16505173;34400560;30454721;27170944;16823493,Cardiomyopathy expert panel,05.01.2022,12.12.2021,2022-04-25 12:45:00+00:00
DSG2,Arrhythmogenic right ventricular cardiomyopathy (ARVC),Familial isolated arrhythmogenic cardiomyopathy,NA,DSG2-related Arrhythmogenic right ventricular cardiomyopathy,Definitive,biallelic_autosomal,Autosomal recessive,Typified by incomplete penetrance,nan,splice_acceptor_variant;splice_donor_variant;frameshift_variant;stop_gained;missense_variant;inframe_deletion;inframe_insertion,25616645;33831308;33917638;24070718;27532257;30790397;21636032;16505173;34400560;30454721;27170944;16823493,Cardiomyopathy expert panel,05.01.2022,12.12.2021,2022-04-25 12:45:00+00:00
